Strategy	n	k	time (ms)				
1	10000000	5000000	817.591				
1	10000000	5000000	743.31				
1	10000000	5000000	736.819				
1	10000000	5000000	731.995				
1	10000000	5000000	721.68				
1	10000000	5000000	724.697				
1	10000000	5000000	736.345				
1	10000000	5000000	728.809				
1	10000000	5000000	728.424				
1	10000000	5000000	736.736				
1	10000000	5000000	748.254				
1	10000000	5000000	731.302			Strat 1	
1	10000000	5000000	730.897			Average	747.4418333
1	10000000	5000000	745.723			STD	28.38982054
1	10000000	5000000	726.103			CI	10.15898013
1	10000000	5000000	736.043				
1	10000000	5000000	733.983				
1	10000000	5000000	749.134				
1	10000000	5000000	741.347				
1	10000000	5000000	766.205				
1	10000000	5000000	764.077				
1	10000000	5000000	743.727				
1	10000000	5000000	748.43				
1	10000000	5000000	749.162				
1	10000000	5000000	751.925				
1	10000000	5000000	740.65				
1	10000000	5000000	734.93				
1	10000000	5000000	864.066				
1	10000000	5000000	752.842				
1	10000000	5000000	758.049				
2	10000000	5000000	117.077				
2	10000000	5000000	86.9834				
2	10000000	5000000	94.859			Strat 2	
2	10000000	5000000	83.0976			Average	104.5247167
2	10000000	5000000	112.499			STD	14.1836865
2	10000000	5000000	118.293			CI	5.075473765
2	10000000	5000000	100.821				
2	10000000	5000000	97.1424				
2	10000000	5000000	112.506				
2	10000000	5000000	92.3621				
2	10000000	5000000	107.076			Strat 3	
2	10000000	5000000	102.142			Average	3798.270333
2	10000000	5000000	103.129			STD	187.8491071
2	10000000	5000000	112.917			CI	67.21970446
2	10000000	5000000	104.393				
2	10000000	5000000	106.061				
2	10000000	5000000	105.097			Strat 4	
2	10000000	5000000	100.723			Average	4534.922333
2	10000000	5000000	99.3171			STD	398.7751751
2	10000000	5000000	115.957			CI	142.6972416
2	10000000	5000000	107.245				
2	10000000	5000000	109.35				
2	10000000	5000000	110.991				
2	10000000	5000000	79.1996				
2	10000000	5000000	100.26				
2	10000000	5000000	92.7817				
2	10000000	5000000	110.028				
2	10000000	5000000	157.827				
2	10000000	5000000	107.603				
2	10000000	5000000	88.0036				
3	10000000	5000000	3888.33				
3	10000000	5000000	3740.03				
3	10000000	5000000	3719.92				
3	10000000	5000000	3822.94				
3	10000000	5000000	3691.69				
3	10000000	5000000	3748.68				
3	10000000	5000000	3736.17				
3	10000000	5000000	3796.54				
3	10000000	5000000	3690.29				
3	10000000	5000000	3695.86				
3	10000000	5000000	3792.52				
3	10000000	5000000	3735.35				
3	10000000	5000000	3738.43				
3	10000000	5000000	3784.21				
3	10000000	5000000	3741.31				
3	10000000	5000000	3770.55				
3	10000000	5000000	3852.7				
3	10000000	5000000	3844.83				
3	10000000	5000000	3643.03				
3	10000000	5000000	3863.15				
3	10000000	5000000	3622.07				
3	10000000	5000000	3706.5				
3	10000000	5000000	3711.61				
3	10000000	5000000	3840.47				
3	10000000	5000000	3618.69				
3	10000000	5000000	3652.69				
3	10000000	5000000	4598.09				
3	10000000	5000000	4117.27				
3	10000000	5000000	3720.7				
3	10000000	5000000	4063.49				
4	10000000	5000000	4542.37				
4	10000000	5000000	4481.13				
4	10000000	5000000	4650.64				
4	10000000	5000000	4442.24				
4	10000000	5000000	4445.93				
4	10000000	5000000	4374.12				
4	10000000	5000000	4417.14				
4	10000000	5000000	4402.43				
4	10000000	5000000	4350.02				
4	10000000	5000000	4345.73				
4	10000000	5000000	4326.77				
4	10000000	5000000	4458.09				
4	10000000	5000000	4351.83				
4	10000000	5000000	4357.64				
4	10000000	5000000	4442.96				
4	10000000	5000000	4651.37				
4	10000000	5000000	4586.24				
4	10000000	5000000	4545.26				
4	10000000	5000000	4337.42				
4	10000000	5000000	4570.58				
4	10000000	5000000	4429.46				
4	10000000	5000000	4245.84				
4	10000000	5000000	4462.69				
4	10000000	5000000	4313.61				
4	10000000	5000000	4532.2				
4	10000000	5000000	4104.02				
4	10000000	5000000	6445.03				
4	10000000	5000000	4996.04				
4	10000000	5000000	4654.28				
4	10000000	5000000	4784.59				